id,grpid,carid,timestamp,longitude,latitude,speed,direction
5354,34,X927G2,1302193874.000,113.957620,22.565330,51.0,90.0
5355,93,X17G05,1302193875.000,114.121170,22.607650,41.0,225.0
5356,35,X17R35,1302193875.000,114.250770,22.735332,3.0,45.0
5357,35,X332D7,1302193875.000,114.113630,22.544000,0.0,0.0
5358,32,X628Z0,1302193875.000,114.037224,22.658327,18.0,90.0
5359,34,X940G3,1302193876.000,114.041595,22.524982,0.0,180.0
5360,59,X20S50,1302193877.000,114.260574,22.721003,0.0,315.0
5361,35,X31W87,1302193877.000,114.126550,22.545200,19.0,225.0
5362,36,X372D2,1302193877.000,114.048650,22.569616,0.0,270.0
5363,33,X867U1,1302193878.000,114.065530,22.630415,0.0,135.0
5364,33,XQR411,1302193878.000,113.928840,22.525127,58.0,270.0
5365,63,X17S51,1302193879.000,114.112280,22.597982,4.0,0.0
5366,35,X18R81,1302193879.000,114.052550,22.720367,0.0,0.0
5367,51,X47G73,1302193879.000,113.902490,22.564533,33.0,180.0
5368,62,X64K41,1302193879.000,114.020460,22.531773,0.0,0.0
5369,29,X971Z3,1302193879.000,114.018810,22.667042,61.0,45.0
5370,35,X98N07,1302193879.000,114.653850,22.517850,0.0,0.0
5371,63,X20S43,1302193880.000,114.066730,22.530905,0.0,90.0
5372,35,X341U2,1302193880.000,113.823370,22.666904,55.0,180.0
5373,35,X35F47,1302193880.000,113.964584,22.557484,60.0,225.0
5374,31,X360Z7,1302193880.000,114.035660,22.654900,0.0,180.0
5375,44,X20S52,1302193881.000,114.117386,22.545362,49.0,315.0
5376,53,X34G02,1302193882.000,114.056380,22.531853,65.0,225.0
5377,35,X927G2,1302193882.000,113.958310,22.565155,16.0,90.0
5378,35,X95P51,1302193882.000,113.922615,22.524550,0.0,0.0
5379,27,X259U7,1302193883.000,113.833090,22.730682,41.0,90.0
5380,31,X364K5,1302193883.000,114.068985,22.573198,0.0,135.0
5381,35,X28X43,1302193884.000,114.107700,22.567568,0.0,0.0
5382,60,X56L83,1302193884.000,114.013405,22.543358,19.0,225.0
5383,32,XQR722,1302193884.000,114.116030,22.539558,0.0,315.0
5384,50,X56L62,1302193885.000,114.129500,22.558182,0.0,315.0
5385,16,XA3K71,1302193887.000,114.058670,22.527767,6.0,225.0
5386,35,X27V40,1302193888.000,114.099365,22.569918,34.0,45.0
5387,57,X57L82,1302193888.000,114.068375,22.523813,10.0,315.0
5388,35,X617D1,1302193888.000,114.112550,22.609068,0.0,135.0
5389,37,X35G03,1302193889.000,113.919815,22.534067,10.0,135.0
5390,58,X57L82,1302193889.000,114.068380,22.523844,6.0,0.0
5391,34,XQR425,1302193889.000,114.113840,22.542530,0.0,225.0
5392,50,X20S21,1302193890.000,113.989044,22.541542,31.0,45.0
5393,35,X051F3,1302193891.000,114.170010,22.597506,12.0,90.0
5394,47,X20S11,1302193891.000,113.909080,22.513287,0.0,90.0
5395,35,X643D1,1302193891.000,114.058400,22.562584,0.0,225.0
5396,35,X917A2,1302193891.000,114.099480,22.614450,0.0,270.0
5397,120,X412Y0,1302193892.000,114.167720,22.564000,0.0,135.0
